name,street,village_id,user_id
HARAPAN JAYA,Lingk. Gendir RT/RW 003/001 Kel Banjarsengon Patrang,248,1
HARAPAN MAKMUR,Lingk. Krajan RT 2 RW 3 Banjar Sengon,248,2
KARYA GATI,Lingkungan Krajan RT 1 RW 1 Banjar Sengon,248,3
KARYA GUNA,Kebon Lor RT 02 Rw 06 Banjar Sengon,248,4
KARYA MAKMUR,Jl. Sriti Lingk. Kebon Kidul RT 002 / RW 004 Banjar Sengon,248,5
MARGO MULYO,Lingk. Kebon Lor RT 1 RW 7 Banjar Sengon,248,6
RUKUN TANI,Jl. Sriti Lingk. Kebun Kidul RT/RW 001/005 Kel Banjarsengon Patrang,248,7
SUMBER TANI,Jl. Sriti Lingk. Gendir RT/RW 003/008 Kel Banjarsengon Patrang,248,8
BARATAN JAYA,Lingkungan Gumuk Sanggar Baratan,244,9
KARYA GUNA,Jl. Wringin Kembar Lingkungan Cupu Baratan,244,10
MAJU JAYA,Lingkungan Baratan Timur Baratan,244,11
PACUL MAS,Darungan lingkungan Cupu Baratan,244,12
SANGGAR MAS,Jl. Rembangan Gumuk Sanggar Baratan,244,13
SUBUR MAKMUR,Jl. Semangka Lingkungan Glisat Baratan,244,14
SUKA MAJU,Lingkungan Baratan Kecil Baratan,244,15
ARGOPURO I,Link.Krajan,245,16
ARJUNO,Link.Semenggu,245,17
BINTORO JAYA,Link.Plalangan,245,18
RUKUN JAYA,Link. Perbal,245,19
RUKUN MAKMUR,Link. Mojan - Bintoro,245,20
Rukun Makmur I (bun),Lingk. Mojan RT/RW. 006/001,245,21
Rukun Makmur II (Bun),Lingk. Mojan RT/RW 003/003,245,22
TUNAS MUDA,Link. Plalangan,245,23
KEDAWUNG LOR,Jl. Kasuari VIII/27 Lingk. Kedawung Lor RT/RW. 001/006,241,24
"Kelompok Usaha Bersama ""Mitra 88 Jember""",Jalan merak 64 Lingkungan Kedawung Kidul RT 01 RW 01 kelurahan Gebang Kecamatan Patrang Jember,241,25
SEDULUR,Jl. Nusa Indah V/165 Krajan Jember Lor RT/RW.001/007,241,26
SUBUR,Gebang Patrang,241,27
SUMBER AGUNG,Jl. Kasuari gg. Silogati Ling Kedawung RT/RW. 002/008,241,28
TUNGGUL,Jl. Kaca Piring III Block 12 No. 443,241,29
RAMBAAN I,Jl. Merpati Kel Jember LOr Patrang,242,30
