name,district_id
PASEBAN,1
CAKRU,1
KRATON,1
WONOREJO,1
KENCONG,1
KEPANJEN,2
MAYANGAN,2
MENAMPU,2
BAGOREJO,2
GUMUKMAS,2
PURWOASRI,2
TEMBOKREJO,2
KARANG REJO,2
MOJOMULYO,3
MOJOSARI,3
PUGER KULON,3
PUGER WETAN,3
GRENDEN,3
MLOKOREJO,3
KASIYAN,3
KASIYAN TIMUR,3
WONOSARI,3
JAMBEARUM,3
BAGON,3
WRINGIN TELU,3
LOJEJER,4
AMPEL,4
TANJUNG REJO,4
KESILIR,4
DUKUH DEMPOK,4
TAMANSARI,4
GLUNDENGAN,4
SUMBERREJO,5
ANDONGSARI,5
SABRANG,5
AMBULU,5
PONTANG,5
KARANGANYAR,5
TEGALSARI,5
ANDONGREJO,6
CURAHNONGKO,6
SANENREJO,6
WONOASRI,6
SIDODADI,6
PONDOKREJO,6
CURAHTAKIR,6
TEMPUREJO,6
MULYOREJO,7
PACE,7
HARJOMULYO,7
KARANGHARJO,7
SILO,7
SEMPOLAN,7
SUMBERJATI,7
GARAHAN,7
SIDOMULYO,7
SEPUTIH,8
SIDOMUKTI,8
SUMBER KEJAYAN,8
TEGALREJO,8
TEGALWARU,8
MAYANG,8
MRAWAN,8
KAWANGREJO,9
TAMANSARI,9
SUCO,9
LAMPEJI,9
MUMBULSARI,9
LENGKONG,9
KARANGKEDAWUNG,9
KEMUNINGSARI KIDUL,10
KERTONEGORO,10
JATISARI,10
SRUNI,10
CANGKRING,10
WONOJATI,10
JENGGAWAH,10
JATIMULYO,10
MANGARAN,11
SUKAMAKMUR,11
KLOMPANGAN,11
PANCAKARYA,11
AJUNG,11
WIROWONGSO,11
ROWO INDAH,11
CURAHMALANG,12
NOGOSARI,12
ROWOTAMTU,12
PECORO,12
RAMBIPUJI,12
KALIWINING,12
RAMBIGUNDAM,12
GUGUT,12
KARANG DUREN,13
KARANG SEMANDING,13
TUTUL,13
BALUNG KULON,13
BALUNG KIDUL,13
BALUNG LOR,13
GUMELAR,13
CURAH LELE,13
SUKORENO,14
GUNUNGSARI,14
UMBULSARI,14
TANJUNGSARI,14
PALERAN,14
UMBULREJO,14
GADINGREJO,14
SIDOREJO,14
TEGALWANGI,14
MUNDUREJO,14
REJO AGUNG,15
SEMBORO,15
SIDOMEKAR,15
SIDOMULYO,15
PONDOK JOYO,15
PONDOK DALEM,15
KETING,16
JOMBANG,16
PADOMASAN,16
NGAMPELREJO,16
WRINGIN AGUNG,16
SARI MULYO,16
SUMBER AGUNG,17
ROWO TENGAH,17
YOSORATI,17
PRINGGOWIRAWAN,17
KARANG BAYAT,17
GELANG,17
JATIROTO,17
JAMINTORO,17
KALIGLAGAH,17
JAMBESARI,17
TANGGUL KULON,18
TANGGUL WETAN,18
KLATAKAN,18
SELODAKON,18
DARUNGAN,18
MANGGISAN,18
PATEMON,18
KRAMAT SUKOHARJO,18
KARANGSONO,19
SUKOREJO,19
PETUNG,19
TISNOGAMBAR,19
LANGKAP,19
BANGSALSARI,19
GAMBIRONO,19
CURAH KALONG,19
TUGUSARI,19
BANJARSARI,19
BADEAN,19
KEMUNINGSARI LOR,20
GLAGAHWERO,20
SERUT,20
PANTI,20
PAKIS,20
SUCI,20
KEMIRI,20
JUBUNG,21
DUKUH MENCEK,21
SUKORAMBI,21
KARANGPRING,21
KELUNGKUNG,21
KEMUNING LOR,22
DARSONO,22
ARJASA,22
BITING,22
CANDIJATI,22
KAMAL,22
KERTOSARI,23
PAKUSARI,23
JATIAN,23
SUBO,23
SUMBERPINANG,23
BEDADUNG,23
PATEMON,23
GAMBIRAN,24
PLALANGAN,24
AJUNG,24
GLAGAHWERO,24
SUMBER JERUK,24
GUMUKSARI,24
PATEMPURAN,24
KALISAT,24
SUMBER KETEMPAH,24
SUKORENO,24
SUMBER KALONG,24
SEBANEN,24
SUREN,25
SUMBER SALAK,25
SUMBER BULUS,25
SUMBER LESUNG,25
LEMBENGAN,25
SUMBER ANGET,25
LEDOKOMBO,25
SLATENG,25
SUKOGIDRI,25
KARANG PAITON,25
RANDU AGUNG,26
CUMEDAK,26
GUNUNG MALANG,26
ROWOSARI,26
SUMBER JAMBE,26
SUMBER PAKEM,26
PLEREYAN,26
PRINGGONDANI,26
JAMBE ARUM,26
SUMBERWARU,27
SUKOREJO,27
SUKOSARI,27
BALET BARU,27
SUMBER WRINGIN,27
MOJOGEMI,27
SUKOKERTO,27
SUKOWONO,27
DAWUHAN MANGLI,27
ARJASA,27
SUMBERDANTI,27
POCANGAN,27
PANDUMAN,28
JELBUK,28
SUKOWIRYO,28
SUGER KIDUL,28
SUKO JEMBER,28
SUCO PENGEPOK,28
MANGLI,29
SEMPUSARI,29
KALIWATES,29
TEGAL BESAR,29
JEMBER KIDUL,29
KEPATIHAN,29
KEBON AGUNG,29
KERANJINGAN,30
WIROLEGI,30
KARANGREJO,30
KEBONSARI,30
SUMBERSARI,30
TEGAL GEDE,30
ANTIROGO,30
GEBANG,31
JEMBER LOR,31
PATRANG,31
BARATAN,31
BINTORO,31
SLAWU,31
JUMERTO,31
BANJARSENGON,31
